wine,winery,vintage_year,vintage_rating,vintage_rating_count,price_availability,structure_acidity,structure_intensity,structure_sweetness,structure_tannin,region,grapes
Bourgogne Pinot Noir,Domaine Fourrier,2017.0,3.9,411,115.11,4.0,2.5,1.0,2.0,bourgogne,"[(14, 'pinot-noir')]"
Châteauneuf-du-Pape Chaupin,Domaine de la Janasse,2006.0,4.3,151,75.0,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Bonnes Mares Grand Cru,Domaine Bart,2021.0,4.4,547,275.0,4.5,3.0,1.0,2.5,bonnes-mares,"[(14, 'pinot-noir')]"
Les Cailloux Cuvée Centenaire Châteauneuf-du-Pape,André Brunel,2000.0,4.3,105,149.0,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Vieilles Vignes Côte de Nuits-Villages,Domaine de Bellène,2020.0,4.1,249,52.92,4.5,3.0,1.0,2.5,cote-de-nuits-villages,"[(14, 'pinot-noir')]"
Saint-Émilion Grand Cru,Château Grand Destieu,2018.0,4.0,717,21.0,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Les Graves de Paul Cahors,Château Vincens,2016.0,4.1,126,23.0,3.0,4.0,1.0,3.5,cahors,"[(9, 'malbec')]"
Extra Libre,Château du Cèdre,2020.0,3.8,72,54.91,4.5,4.5,1.5,4.0,cahors,Unknown
Contreforts du Delta Ventoux,Terroirs Vivants - Jacques Frelin,2021.0,3.6,138,13.84,3.5,4.0,1.0,3.5,cotes-du-ventoux,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Saint-Émilion,Le Tertre de Sarpe,2016.0,3.9,72,9.61,3.5,4.5,1.0,4.0,saint-emilion,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Iconoclaste Sancerre,Domaine Fouassier,2021.0,3.7,521,39.9,4.5,2.5,1.0,2.5,upper-loire,"[(3, 'cabernet-franc'), (14, 'pinot-noir'), (80, 'gamay'), (404, 'grolleau')]"
Ermitage l'Ermite,M. Chapoutier,2004.0,4.3,119,287.5,3.5,5.0,1.0,4.5,hermitage,"[(1, 'shiraz-syrah')]"
Sentiers de Bagatelle Colline Rouge,Clos Bagatelle,2023.0,3.7,133,10.95,4.0,4.0,1.0,4.0,saint-chinian,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Cuvée Vieilles Vignes Gevrey-Chambertin,Domaine Philippe Charlopin-Parizot,2020.0,4.2,66,92.66,4.5,3.0,1.0,2.5,gevrey-chambertin,"[(14, 'pinot-noir')]"
Rouge,Domaine de Rombeau,2023.0,4.0,79,14.54,4.0,4.0,1.0,4.0,cotes-catalanes,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Crozes-Hermitage La Matinière Rouge,Ferraton Père & Fils,2019.0,3.9,269,33.5,3.0,4.0,1.0,3.5,crozes-hermitage,"[(1, 'shiraz-syrah')]"
Graves Rouge,Château Boiresse,1970.0,3.4,157,42.0,4.5,4.5,1.0,5.0,graves,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Les Varennes du Grand Clos Chinon,Charles Joguet,2000.0,3.9,1539,330.0,4.0,3.5,1.5,4.0,chinon,"[(3, 'cabernet-franc')]"
Haut-Médoc (Grand Cru Classé),Château Belgrave,2007.0,3.8,518,70.0,4.0,4.5,1.0,5.0,haut-medoc,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
